;;;Coordinates;
Emilio Mitre;14,0;BVL;6171516;6384800
Emilio Mitre;14,0;BRL;6171677;6384977
Emilio Mitre;16,2;BVL;6173291;6383190
Emilio Mitre;16,2;BRL;6173451;6383370
Emilio Mitre;18,5;BVL;6174886;6381458
Emilio Mitre;18,5;BRL;6175071;6381630
Emilio Mitre;20,7;BVL;6176671;6379580
Emilio Mitre;20,7;BRL;6176850;6379744
Emilio Mitre;23,0;BVL;6178386;6377758
Emilio Mitre;23,0;BRL;6178554;6377917
Emilio Mitre;25,2;BVL;6180142;6375950
Emilio Mitre;25,2;BRL;6180312;6376134
Emilio Mitre;26,7;BVL;6181650;6374598
Emilio Mitre;26,7;BRL;6181806;6374775
Emilio Mitre;28,5;BVL;6183126;6373250
Emilio Mitre;28,5;BRL;6183318;6373450
Emilio Mitre;30,5;BVL;6184808;6371853
Emilio Mitre;30,5;BRL;6184955;6372058
Emilio Mitre;31,5;BVL;6185706;6371333
Emilio Mitre;31,5;BRL;6185829;6371522
Emilio Mitre;32,5;BVL;6186564;6370852
Emilio Mitre;32,5;BRL;6186666;6371040
Emilio Mitre;34,5;BVL;6188626;6369640
Emilio Mitre;34,5;BRL;6188743;6369840
Emilio Mitre;36,5;BVL;6190546;6368535
Emilio Mitre;36,5;BRL;6190660;6368725
Emilio Mitre;MITRE;BzAmL;6191503;6367859
Emilio Mitre;38,5;BVL;6192609;6367356
Emilio Mitre;38,5;BRL;6192726;6367560
Emilio Mitre;40,5;BVL;6193856;6366645
Emilio Mitre;40,5;BRL;6193976;6366855
Emilio Mitre;42,7;BVL;6196891;6364918
Emilio Mitre;42,7;BRL;6197006;6365115
Emilio Mitre;45,0;BVL;6198929;6363902
Emilio Mitre;45,0;BRL;6199016;6364100
Emilio Mitre;46,5;BVL;6200856;6362960
Emilio Mitre;46,5;BRL;6200931;6363115
Emilio Mitre;47,2;BNRNL;6201451;6362610
Emilio Mitre;47,4;BVL;6201596;6362570
Emilio Mitre;47,4;BRL;6201716;6362790
Emilio Mitre;48,0;BVL;6202141;6362180
Emilio Mitre;48,0;BRL;6202268;6362330
Paraná Palmas;49,7;BVL;6203037;5637390
Paraná Palmas;49,7;BRL;6203196;5637514
Paraná Palmas;50,6;BVL;6203558;5636635
Paraná Palmas;50,6;BRL;6203768;5636760
Paraná Palmas;51,4;BVL;6203798;5635915
Paraná Palmas;51,4;BRL;6204028;5635960
Paraná Palmas;53,3;BVL;6204118;5634080
Paraná Palmas;53,3;BRL;6204338;5634130
Paraná Palmas;53,7;BNAmL;6204146;5633563
Paraná Palmas;54,3;BVL;6204483;5633065
Paraná Palmas;55,7;BVL;6205213;5631835
Paraná Palmas;55,7;BRL;6205408;5631940
Paraná Palmas;57,6;BVL;6206148;5630167
Paraná Palmas;57,6;BRL;6206358;5630255
Paraná Palmas;58,0;BRVRL;6206677;5629977
Paraná Palmas;59,5;BVL;6206758;5628440
Paraná Palmas;59,5;BRL;6207068;5628540
Paraná Palmas;61,0;BVL;6207128;5626990
Paraná Palmas;61,0;BRL;6207528;5627110
Paraná Palmas;63,8;Bz VRV L;6207744;5624225
Paraná Palmas;63,8;Bz RVR L;6208284;5624432
Paraná Palmas;65,0;BNRNL;6208632;5623346
Paraná Palmas;68,7;BNRNL;6209547;5619643
Paraná Palmas;69,2;BNRNL;6209688;5619140
Paraná Palmas;69,6;BNRNL;6209813;5618822
Paraná Palmas;69,9;BNRNL;6209892;5618551
Paraná Palmas;70,0;BRL;6210218;5618515
Paraná Palmas;70,0;BNRNL;6209916;5618467
Paraná Palmas;70,6;BNRNL;6210050;5617841
Paraná Palmas;71,7;BNRNL;6210328;5616763
Paraná Palmas;71,8;BNRNL;6210321;5616634
Paraná Palmas;73,5;BVL;6210688;5615025
Paraná Palmas;77,5;BRL;6212276;5611412
Paraná Palmas;81,0;BVL;6214247;5608475
Paraná Palmas;83,8;BRL;6216288;5606640
Paraná Palmas;85,2;BzRL;6217502;5605882
Paraná Palmas;86,0;BVL;6217778;5604940
Paraná Palmas;87,2;BzRL;6218166;5604071
Paraná Palmas;88,8;BzVL;6217383;5602421
Paraná Palmas;89,6;BzRL;6217480;5601660
Paraná Palmas;89,6;BzBL;6217128;5601550
Paraná Palmas;89,8;BzBL;6217151;5601258
Paraná Palmas;90,2;BRL;6217698;5601285
Paraná Palmas;90,4;BzVL;6217762;5600854
Paraná Palmas;92,7;BzRL;6220009;5600305
Paraná Palmas;94,1;BVL;6220888;5599240
Paraná Palmas;94,3;BzRL;6221220;5599248
Paraná Palmas;95,0;BRL;6221418;5598530
Paraná Palmas;95,8;BzRL;6221274;5597606
Paraná Palmas;96,2;BRL;6221078;5597200
Paraná Palmas;97,5;BVL;6220763;5595940
Paraná Palmas;98,5;BzRL;6221365;5595209
Paraná Palmas;99,2;BzRL;6221798;5594685
Paraná Palmas;100,2;BRL;6222503;5593889
Paraná Palmas;100,6;BzRL;6222741;5593911
Paraná Palmas;100,6;BzBL;6222763;5593530
Paraná Palmas;101,2;BzVL;6223240;5594055
Paraná Palmas;101,2;BRL;6222935;5594153
Paraná Palmas;101,8;BVL;6223400;5594560
Paraná Palmas;102,2;BVL;6223748;5594740
Paraná Palmas;102,3;BzRL;6223805;5595050
Paraná Palmas;103,5;BzVL;6224767;5594430
Paraná Palmas;104,2;BzRL;6225612;5594214
Paraná Palmas;105,5;BzNRNL;6225898;5592970
Paraná Palmas;107,5;BRVRL;6227160;5591536
Paraná Palmas;108,6;BVL;6228150;5591010
Paraná Palmas;109,5;BRL;6229030;5590845
Paraná Palmas;110,7;BNAmNL;6229805;5589725
Paraná Palmas;110,9;BNAmNL;6230010;5589593
Paraná Palmas;112,8;BzRL;6231870;5589065
Paraná Palmas;114,9;BVL;6233258;5587960
Paraná Palmas;115,0;BzRL;6233675;5587918
Paraná Palmas;116,8;BzVL;6233080;5586208
Paraná Palmas;117,6;BRL;6233219;5585365
Paraná Palmas;119,1;BzVL;6233206;5583797
Paraná Palmas;119,9;BRL;6233740;5583334
Paraná Palmas;121,2;BzRL;6234962;5582704
Paraná Palmas;123,0;BzRL;6236018;5581230
Paraná Palmas;124,5;BzVL;6236629;5579782
Paraná Palmas;125,9;BzBL;6237716;5578500
Paraná Palmas;125,9;BRL;6237657;5578990
Paraná Palmas;126,1;BRL;6237900;5579088
Paraná Palmas;126,5;BRL;6238100;5579300
Paraná Palmas;126,5;BzVL;6238352;5578941
Paraná Palmas;127,0;BzVL;6238641;5579221
Paraná Palmas;127,1;BzBL;6238810;5579685
Paraná Palmas;127,5;BVL;6238926;5579123
Paraná Palmas;127,5;BzRL;6239200;5579255
Paraná Palmas;128,5;BzVL;6239418;5578247
Paraná Palmas;128,6;BRL;6239681;5578404
Paraná Palmas;129,7;BzVL;6240159;5577568
Paraná Palmas;131,2;BzRL;6241066;5576459
Paraná Palmas;131,2;BzBL;6240837;5576222
Paraná Palmas;131,4;BzBL;6241003;5576045
Paraná Palmas;131,6;BRL;6241321;5576346
Paraná Palmas;132,0;BVL;6241645;5575925
Paraná Palmas;132,8;BzBL;6242539;5575889
Paraná Palmas;133,0;BzVL;6242372;5575510
Paraná Palmas;134,2;BRL;6242548;5574512
Paraná Palmas;135,1;BRL;6242418;5573545
Paraná Palmas;135,4;BRL;6242565;5573300
Paraná Palmas;136,3;BVL;6243069;5572720
Paraná Palmas;136,3;BzBL;6243342;5572959
Paraná Palmas;136,5;BzBL;6243503;5572680
Paraná Palmas;139,0;BRL;6243720;5570540
Paraná Palmas;139,3;BzVL;6243570;5569857
Paraná Palmas;140,5;BzBvL;6243943;5568635
Paraná Palmas;140,6;BRL;6244218;5568790
Paraná Palmas;141,0;BzVRVL;6244642;5568326
Paraná Palmas;141,6;BzRL;6245072;5568621
Paraná Palmas;142,1;BzBvL;6245636;5568600
Paraná Palmas;142,5;BRL;6245623;5569210
Paraná Palmas;143,0;BVL;6245943;5569580
Paraná Palmas;144,0;BVL;6246013;5570536
Paraná Palmas;144,5;BzBrL;6245972;5571181
Paraná Palmas;145,0;BzVL;6246606;5571122
Paraná Palmas;145,4;BzBrL;6246890;5571590
Paraná Palmas;146,5;BzVL;6247839;5570911
Paraná Palmas;147,1;BRL;6248550;5570780
Paraná Palmas;148,2;BNRNL;6249686;5570302
Paraná Palmas;148,3;BVL;6249503;5570132
Paraná Palmas;149,8;BzRL;6250310;5569050
Paraná Palmas;150,1;BzVL;6250287;5568601
Paraná Palmas;151,4;BVL;6251508;5567965
Paraná Palmas;152,0;BzRL;6252351;5567607
Paraná Palmas;154,4;BzRL;6253307;5565683
Paraná Palmas;155,1;BVL;6253340;5564920
Paraná Palmas;155,6;BRL;6253946;5564857
Paraná Palmas;156,1;BzBvL;6254350;5564209
Paraná Palmas;156,3;BzRL;6254508;5564695
Paraná Palmas;157,1;BRL;6255213;5565080
Paraná Palmas;157,9;BVL;6255937;5565230
Paraná Palmas;158,4;BzVL;6256245;5565340
Paraná Palmas;158,8;BVL;6256523;5565285
Paraná Palmas;158,8;BRL;6256742;5565641
Paraná Palmas;159,2;BRL;6256968;5565105
Paraná Palmas;159,3;BzVL;6256585;5564910
Paraná Palmas;160,0;BzVL;6256480;5563980
Paraná Palmas;161,0;BRL;6256623;5563270
Paraná Palmas;161,6;BzVL;6256456;5562637
Paraná Palmas;162,8;BRL;6257196;5561680
Paraná Palmas;163,6;BVL;6257460;5560940
Paraná Palmas;163,9;BzRL;6257934;5560870
Paraná Palmas;164,8;BRL;6258653;5560550
Paraná Palmas;165,7;BRL;6259475;5560555
Paraná Palmas;166,7;BRL;6260295;5561010
Paraná Palmas;167,2;BVL;6260848;5561262
Paraná Palmas;167,6;BRL;6260855;5561650
Paraná Palmas;168,9;BRL;6261181;5562850
Paraná Palmas;170,2;BVL;6261540;5564200
Paraná Palmas;171,4;BRL;6261618;5565390
Paraná Palmas;173,2;BzRL;6262603;5566960
Paraná Palmas;173,3;BzVL;6262888;5566910
Paraná Palmas;174,2;BRL;6263299;5567930
Paraná Palmas;174,7;BVL;6263805;5567925
Paraná Palmas;176,1;BVL;6265120;5567960
Paraná Palmas;176,1;BRL;6265230;5568135
Paraná Palmas;178,5;BRL;6267298;5567010
Paraná Palmas;178,5;BVL;6267170;5566865
Paraná Palmas;179,6;BVL;6268013;5566140
Paraná Palmas;179,6;BAmNAmL;6268198;5566290
Paraná Guazú;123,0;BVL;6235860;5649820
Paraná Guazú;124,0;BRL;6236363;5648940
Paraná Guazú;124,9;BVL;6236070;5647950
Paraná Guazú;126,0;BRL;6236590;5647100
Paraná Guazú;128,0;BVL;6236608;5645028
Paraná Guazú;128,0;BRL;6236908;5645050
Paraná Guazú;130,0;BRL;6237442;5642839
Paraná Guazú;131,7;BzBL;6237544;5641338
Paraná Guazú;132,7;BzBL;6237091;5639739
Paraná Guazú;134,0;BzRL;6236448;5638507
Paraná Guazú;137,5;BzVL;6234768;5635190
Paraná Guazú;139,8;BzRL;6234658;5633585
Paraná Guazú;141,2;BzRL;6234616;5631314
Paraná Guazú;143,5;BAmNAmL;6233283;5629890
Paraná Guazú;144,0;BRL;6233588;5629150
Paraná Guazú;145,0;BzVRVL;6232846;5628295
Paraná Guazú;146,0;BVL;6232865;5626948
Paraná Guazú;149,0;BRL;6233556;5624684
Paraná Guazú;151,8;BzVRVL;6234483;5621974
Paraná Guazú;155,5;BVL;6237478;5619870
Paraná Guazú;159,5;BzRL;6240855;5617705
Paraná Guazú;161,0;BRL;6242043;5616296
Paraná Guazú;162,3;BVL;6243160;5615300
Paraná Guazú;162,9;BVL;6243420;5614860
Paraná Guazú;163,5;BzVL;6243274;5613803
Paraná Guazú;165,0;BAmNAmL;6244182;5614430
Paraná Guazú;167,0;BRL;6243755;5611359
Paraná Guazú;169,0;BRL;6243086;5609488
Paraná Guazú;171,0;BVL;6242582;5607440
Paraná Guazú;171,0;BRL;6243416;5607745
Paraná Guazú;180,5;BzVL;6249892;5600938
Paraná Guazú;181,0;BNAmNL;6250469;5600994
Paraná Guazú;184,5;BzRL;6252064;5597154
Paraná Guazú;188,0;BNRNL;6251525;5596090
Paraná Guazú;188,5;BzVL;6252370;5594050
Paraná Guazú;190,5;BRL;6254157;5594027
Paraná Guazú;192,5;BVL;6255248;5593125
Paraná Guazú;192,5;BzRC;6255842;5592737
Paraná Guazú;192,5;BRL;6255780;5592790
Paraná Guazú;193,5;BVL;6254626;5591360
Paraná Guazú;194,5;BRL;6255260;5589865
Paraná Guazú;197,0;BVL;6256510;5587850
Paraná Guazú;198,0;BRL;6256905;5587375
Paraná Guazú;202,0;BzRL;6255629;5583835
Paraná Guazú;205,0;BzVL;6254178;5581129
Paraná Guazú;209,0;BzRL;6257435;5578309
Paraná Guazú;211,5;BzVL;6259079;5576612
Paraná Guazú;211,5;BzBL;6259643;5576853
Paraná Guazú;212,0;BzRVRL;6259696;5576249
Paraná Guazú;215,0;BRL;6258918;5573470
Paraná Guazú;216,5;BzVL;6258413;5573170
Paraná Guazú;217,0;BRL;6258510;5572455
Paraná Guazú;218,0;BzVRVL;6258090;5571960
Paraná Guazú;219,0;BVRVL;6258818;5570187
Paraná Guazú;220,0;BzVL;6259684;5569074
Paraná Guazú;220,0;BNRNL;6259980;5569610
Paraná Guazú;220,7;BRL;6260298;5569040
Paraná Guazú;222,0;BzVL;6261100;5568407
Paraná Guazú;222,0;BRL;6261210;5568840
Paraná Guazú;223,0;BRL;6261848;5568850
Paraná Guazú;227,0;BRL;6265938;5570850
Paraná Guazú;227,5;BVL;6267018;5570720
Paraná Guazú;229,0;BRL;6268641;5570130
Pasaje Talavera;181,5;BzRL;6250188;5600206
Pasaje Talavera;186,0;BRL;6247702;5597385
Pasaje Talavera;La Ilusión;BNRNL;6246000;5595976
Pasaje Talavera;189,0;BVRVL;6245405;5595250
Pasaje Talavera;190,0;BNRNL;6245112;5593960
Pasaje Talavera;192,0;BzBvL;6244065;5592510
Pasaje Talavera;193,3;BzBvL;6244158;5591279
Pasaje Talavera;194,0;BRL;6244612;5591149
Pasaje Talavera;196,0;BzVL;6245376;5590006
Pasaje Talavera;197,0;BzRL;6246998;5587475
Pasaje Talavera;201,0;BVL;6247049;5585448
Pasaje Talavera;204,5;BzRL;6249203;5581963
Pasaje Talavera;207,0;BRL;6250518;5579700
Pasaje Talavera;208,5;BzVL;6251402;5577242
Pasaje Talavera;211,5;BzBvL;6253220;5573480
Pasaje Talavera;212,5;BzBvL;6254070;5573120
Pasaje Talavera;214,6;BVL;6255820;5573290
Pasaje Talavera;215,2;BVL;6256871;5573056
Pasaje Talavera;217,0;BRL;6257512;5573202
Paraná Bravo;138,0;BVL;6249320;5644510
Paraná Bravo;138,0;BRL;6249538;5644595
Paraná Bravo;138,5;BVL;6249300;5644030
Paraná Bravo;139,0;BRL;6249303;5643485
Paraná Bravo;140,2;BRL;6248654;5642520
Paraná Bravo;141,5;BzVL;6247509;5641801
Paraná Bravo;142,8;BRL;6246720;5640615
Paraná Bravo;143,0;BzBL;6246519;5640301
Paraná Bravo;144,8;BzRC;6247766;5639221
Paraná Bravo;145,0;BRL;6247840;5639030
Paraná Bravo;148,0;BzRL;6248952;5636129
Paraná Bravo;148,3;BVL;6248630;5635710
Paraná Bravo;148,5;BzVL;6248277;5635272
Paraná Bravo;149,3;BRL;6247230;5634275
Paraná Bravo;150,0;BVRVL;6246970;5633810
Paraná Bravo;151,0;BzVL;6246963;5632274
Paraná Bravo;153,7;BzVL;6247745;5628490
Paraná Bravo;156,5;BzVL;6248169;5626092
Paraná Bravo;159,0;BzRL;6248978;5624653
Paraná Bravo;160,8;BRL;6249920;5623020
Paraná Bravo;160,2;BzRC;6249647;5624111
Paraná Bravo;160,5;BVL;6249560;5623460
Paraná Bravo;161,0;BzRL;6249900;5622343
Paraná Bravo;164,0;BzRL;6248408;5619052
Paraná Bravo;168,0;BzVL;6244952;5615473
Paraná Inferior;234,8;BRL;6268710;5564830
Paraná Inferior;240,0;BzRL;6268128;5558390
Paraná Inferior;240,6;BVL;6267068;5557520
Paraná Inferior;245,0;BVL;6267290;5553450
Paraná Inferior;247,1;BRL;6268920;5550690
Paraná Inferior;248,3;BVL;6270412;5549145
Paraná Inferior;252,5;BRL;6272450;5549390
Paraná Inferior;254,7;BVL;6274890;5548770
Paraná Inferior;258,0;BVL;6277784;5547085
Paraná Inferior;262,0;BRL;6279057;5543302
Paraná Inferior;263,7;BVL;6278200;5542560
Paraná Inferior;267,0;BRL;6275770;5540110
Paraná Inferior;272,0;BRL;6272330;5537620
Paraná Inferior;273,4;BRL;6271890;5535990
Paraná Inferior;274,2;BVRVL;6272230;5535060
Paraná Inferior;274,4;BRL;6272580;5535320
Paraná Inferior;276,6;BVL;6274550;5534240
Paraná Inferior;281,0;BVL;6278288;5533440
Paraná Inferior;283,5;BVL;6280308;5531455
Paraná Inferior;286,8;BVL;6281380;5528500
Paraná Inferior;286,9;BRVRL;6281588;5528333
Paraná Inferior;287,2;BRL;6281218;5527927
Paraná Inferior;288,0;BRL;6280553;5527490
Paraná Inferior;288,9;BVL;6279780;5526780
Paraná Inferior;290,0;BRL;6279670;5526250
Paraná Inferior;291,0;BRL;6279620;5524600
Paraná Inferior;292,5;BVL;6279540;5523320
Paraná Inferior;293,1;BRL;6280020;5522670
Paraná Inferior;294,5;BVL;6280653;5521405
Paraná Inferior;294,8;BRL;6280970;5521260
Paraná Inferior;298,0;BNAmL;6282566;5518732
Paraná Inferior;298,4;BRL;6283058;5518591
Paraná Inferior;303,6;BVL;6287640;5518160
Paraná Inferior;307,5;BVL;6289890;5517220
Paraná Inferior;309,0;BRL;6290880;5515480
Paraná Inferior;NN-310;BNRNL;6290925;5514320
Paraná Inferior;310,8;BRL;6291310;5513500
Paraná Inferior;313,0;BVL;6291820;5511450
Paraná Inferior;315,5;BVRVL;6293560;5508452
Paraná Inferior;316,4;BVL;6294160;5507860
Paraná Inferior;316,8;BVL;6294788;5507440
Paraná Inferior;318,3;BRL;6296210;5507120
Paraná Inferior;319,0;BVL;6296890;5506840
Paraná Inferior;319,0;BzVC;6296840;5506774
Paraná Inferior;320,0;BVL;6297570;5506400
Paraná Inferior;320,7;BVL;6297660;5505800
Paraná Inferior;321,5;BRL;6297663;5505052
Paraná Inferior;322,4;BRL;6297310;5504070
Paraná Inferior;323,5;BRL;6297041;5503077
Paraná Inferior;324,6;BRL;6296853;5501490
Paraná Inferior;325,4;BVRVL;6296905;5500495
Paraná Inferior;331,8;BRVRL;6300120;5495700
Paraná Inferior;332,6;BVL;6300400;5494970
Paraná Inferior;334,6;BRL;6301900;5493300
Paraná Inferior;336,4;BRL;6303150;5492625
Paraná Inferior;337,6;BRL;6304280;5492250
Paraná Inferior;337,9;BVL;6304600;5492080
Paraná Inferior;338,5;BVL;6305340;5492050
Paraná Inferior;340,4;BVL;6307300;5490970
Paraná Inferior;341,6;BRL;6308260;5490200
Paraná Inferior;341,8;BVL;6308240;5489880
Paraná Inferior;343,0;BRVRL;6308770;5489330
Paraná Inferior;343,2;BVL;6308700;5489000
Paraná Inferior;343,7;BRL;6308930;5488870
Paraná Inferior;344,5;BNRNL;6308435;5487980
Paraná Inferior;347,2;BRL;6309870;5485610
Paraná Inferior;348,5;BVL;6310768;5484095
Paraná Inferior;350,4;BVL;6313098;5483510
Paraná Inferior;353,0;BVL;6315150;5482260
Paraná Inferior;354,5;BRL;6316318;5481180
Paraná Inferior;356,4;BRL;6317315;5479600
Paraná Inferior;358,0;BVL;6318103;5478080
Paraná Inferior;360,5;BRL;6319723;5475945
Paraná Inferior;364,5;BRL;6321920;5473240
Paraná Inferior;366,0;BVRVL;6322625;5471887
Paraná Inferior;366,5;BRL;6323800;5473255
Paraná Inferior;368,2;BVL;6325430;5473760
Paraná Inferior;369,9;BVL;6326670;5473970
Paraná Inferior;371,0;BVL;6327700;5473190
Paraná Inferior;374,0;BVL;6329444;5471143
Paraná Inferior;376,0;BRL;6329808;5469440
Paraná Inferior;380,1;BRL;6328790;5465750
Paraná Inferior;382,1;BVL;6329260;5464240
Paraná Inferior;383,0;BVL;6331050;5464050
Paraná Inferior;386,0;BVL;6332780;5462900
Paraná Inferior;387,8;BVL;6333240;5460760
Paraná Inferior;389,0;BRL;6333030;5459370
